# mN [MeV]	|U_muN|^2 (3)	|U_muN|^2 (50)	|U_eN|^2 (3)	|U_eN|^2 (50)
94.76	2.99934e-07	1.22448e-06	3.35026e-09	1.36774e-08
95.02	3.11785e-07	1.27286e-06	3.32165e-09	1.35606e-08
95.28	3.245e-07	1.32477e-06	3.29344e-09	1.34454e-08
95.54	3.38166e-07	1.38056e-06	3.26562e-09	1.33318e-08
95.8	3.52882e-07	1.44064e-06	3.23818e-09	1.32198e-08
96.06	3.6876e-07	1.50546e-06	3.21112e-09	1.31093e-08
96.32	3.85929e-07	1.57555e-06	3.18443e-09	1.30004e-08
96.58	4.04533e-07	1.6515e-06	3.15811e-09	1.28929e-08
96.84	4.24741e-07	1.734e-06	3.13215e-09	1.2787e-08
97.1	4.46745e-07	1.82383e-06	3.10656e-09	1.26825e-08
97.36	4.70769e-07	1.92191e-06	3.08131e-09	1.25794e-08
97.62	4.97072e-07	2.02929e-06	3.05641e-09	1.24777e-08
97.88	5.25957e-07	2.14721e-06	3.03186e-09	1.23775e-08
98.14	5.5778e-07	2.27713e-06	3.00764e-09	1.22786e-08
98.4	5.92958e-07	2.42074e-06	2.98376e-09	1.21811e-08
98.66	6.31992e-07	2.58009e-06	2.96021e-09	1.2085e-08
98.92	6.75473e-07	2.75761e-06	2.93698e-09	1.19902e-08
99.18	7.24117e-07	2.9562e-06	2.91408e-09	1.18967e-08
99.44	7.78789e-07	3.17939e-06	2.89149e-09	1.18045e-08
99.7	8.40544e-07	3.43151e-06	2.86922e-09	1.17135e-08
99.96	9.10682e-07	3.71784e-06	2.84725e-09	1.16239e-08
100.22	9.90815e-07	4.04498e-06	2.8256e-09	1.15354e-08
100.48	1.08297e-06	4.4212e-06	2.80424e-09	1.14483e-08
100.74	1.18971e-06	4.85697e-06	2.78318e-09	1.13623e-08
101	1.31434e-06	5.36576e-06	2.76241e-09	1.12775e-08
101.26	1.46114e-06	5.96509e-06	2.74194e-09	1.11939e-08
101.52	1.63579e-06	6.67809e-06	2.72175e-09	1.11115e-08
101.78	1.8459e-06	7.53586e-06	2.70185e-09	1.10302e-08
102.04	2.10189e-06	8.58094e-06	2.68222e-09	1.09501e-08
102.3	2.41835e-06	9.87286e-06	2.66287e-09	1.08711e-08
102.56	2.81617e-06	1.14969e-05	2.6438e-09	1.07933e-08
102.82	3.32618e-06	1.35791e-05	2.62499e-09	1.07165e-08
103.08	3.99541e-06	1.63112e-05	2.60645e-09	1.06408e-08
103.34	4.89851e-06	1.99981e-05	2.58818e-09	1.05662e-08
103.6	6.15984e-06	2.51475e-05	2.57016e-09	1.04926e-08
103.86	7.99938e-06	3.26573e-05	2.55241e-09	1.04202e-08
104.12	1.08368e-05	4.4241e-05	2.5349e-09	1.03487e-08
104.38	1.55571e-05	6.35116e-05	2.51765e-09	1.02783e-08
104.64	2.43032e-05	9.92174e-05	2.50065e-09	1.02089e-08
104.9	4.34472e-05	0.000177373	2.4839e-09	1.01405e-08
105.16	9.97472e-05	0.000407216	2.46738e-09	1.00731e-08
105.42	0.000432396	0.00176525	2.45111e-09	1.00066e-08
105.68	inf	inf	2.43508e-09	9.94118e-09
105.94	inf	inf	2.41929e-09	9.87669e-09
106.2	inf	inf	2.40372e-09	9.81316e-09
106.46	inf	inf	2.38839e-09	9.75057e-09
106.72	inf	inf	2.37329e-09	9.68891e-09
106.98	inf	inf	2.35841e-09	9.62818e-09
107.24	inf	inf	2.34376e-09	9.56837e-09
107.5	inf	inf	2.32933e-09	9.50946e-09
107.76	inf	inf	2.31512e-09	9.45146e-09
108.02	inf	inf	2.30113e-09	9.39434e-09
108.28	inf	inf	2.28736e-09	9.33811e-09
108.54	inf	inf	2.2738e-09	9.28276e-09
108.8	inf	inf	2.26046e-09	9.22827e-09
109.06	inf	inf	2.24732e-09	9.17465e-09
109.32	inf	inf	2.2344e-09	9.12188e-09
109.58	inf	inf	2.22168e-09	9.06996e-09
